Pt.x,Pt.y,Id
470.635,5010.579,144
473.403,5107.578,145
474.671,5024.103,146
523.333,1985.731,147
477.834,4821.852,148
522.4,2189.796,149
482,5154.093,150
484.149,5060.202,151
485.531,5010.663,152
493.284,3425.73,153
489.248,4764.501,154
534.511,2175.516,155
492.173,4993.359,156
499.567,3376.044,157
494.838,5025.678,158
504.42,3384.087,159
499.834,4788.462,160
506.56,4649.673,161
504.256,5000.394,162
505.81,4974.438,163
507.077,5048.085,164
514.433,3390.471,165
510.773,4696.062,166
515.989,3375.267,167
511.073,4674.537,168
510.825,5041.533,169
513.893,5027.421,170
515.422,5015.661,171
517.484,5071.731,172
524.843,4766.643,173
527.44,4854.297,174
528.062,4862.655,175
526.317,4997.685,176
532.34,5060.475,177
533.698,5012.406,178
534.213,4757.928,179
533.291,4966.542,180
535.229,5001.423,181
544.331,4745.832,182
544.597,4973.766,183
552.892,4623.36,184
558.461,3167.367,185
550.4,4745.832,186
550.977,4981.83,187
553.342,4863.327,188
557.225,4618.068,189
557.466,4628.61,190
555.545,4955.034,191
556.183,4991.322,192
566.03,3169.131,193
563.359,4616.031,194
562.296,4643.898,195
568.287,3348.072,196
561.11,4959.255,197
563.333,4789.974,198
564.449,4711.77,199
564.045,4800.978,200
564.541,4984.917,201
575.429,3103.8,202
573.55,3363.423,203
578.39,5430.306,204
571.49,4732.539,205
578.138,3344.712,206
576.681,4603.074,207
581.081,3356.472,208
576.593,4939.515,209
593.025,6033.258,210
581.284,4640.202,211
579.264,4791.948,212
580.486,5017.509,213
589.34,3167.451,214
587.635,4571.553,215
589.325,4589.403,216
584.701,4945.479,217
587.828,4975.95,218
590.764,5022.423,219
598.966,3290.28,220
599.819,3272.808,221
602.507,3423.798,222
603.376,3438.162,223
645.399,7433.454,224
599.594,4577.622,225
603.443,3280.368,226
598.668,4984.161,227
607.948,3431.505,228
601.476,5023.536,229
604.063,4997.412,230
606.039,4781.889,231
605.113,4967.907,232
609.563,4680.039,233
662.84,7472.367,234
616.054,6913.053,235
613.756,4822.104,236
628.442,3078.789,237
669.434,7531.524,238
627.614,3249.288,239
670.625,7498.491,240
625.136,4653.117,241
626.317,4759.692,242
633.333,3304.476,243
634.013,3441.522,244
641.886,3000.711,245
683.991,7537.887,246
636.285,6888.588,247
684.841,7681.212,248
637.615,4857.342,249
639.171,4965.261,250
640.704,4952.514,251
641.563,4975.425,252
652.207,3018.351,253
688.937,7670.817,254
643.32,4993.422,255
653.793,2985.36,256
644.482,4957.995,257
694.189,7427.028,258
693.821,7324.779,259
650.983,4537.113,260
646.227,4809.252,261
655.166,3287.34,262
648.222,4821.789,263
698.51,7417.137,264
649.362,4970.133,265
650.202,4937.415,266
701.093,7584.57,267
653.501,4950.855,268
652.159,5007.45,269
666.912,2884.728,270
703.529,7439.166,271
656.8,4787.244,272
706.308,7401.471,273
657.466,4961.901,274
668.762,3016.944,275
709.783,7569.429,276
673.722,2738.106,277
709.508,7582.638,278
707.007,7661.934,279
661.319,4820.067,280
664.698,4927.356,281
676.085,2984.982,282
675.484,3200.715,283
679.369,2974.503,284
684.18,2741.991,285
684.793,3315.879,286
681.935,4672.479,287
686.654,3308.067,288
680.398,4788.819,289
690.404,3329.676,290
732.858,7356.531,291
696.912,2739.219,292
732.283,7532.007,293
692.481,3322.116,294
686.942,5135.508,295
739.624,7358.841,296
691.492,5158.608,297
742.274,7427.133,298
706.717,6089.832,299
743.455,7438.158,300
703.918,3314.64,301
697.796,4928.616,302
747.232,7339.206,303
713.057,2747.829,304
708.779,4342.254,305
706.936,4686.99,306
714.932,3112.893,307
715.506,3327.114,308
720.949,2776.683,309
718.053,3144.414,310
723.612,2749.362,311
717.158,4397.505,312
723.177,3316.173,313
726.85,3145.632,314
732.642,2725.695,315
727.509,4506.159,316
773.464,7317.765,317
767.953,7780.479,318
727.486,6917.19,319
729.971,5097.351,320
737.461,3205.419,321
734.576,4514.58,322
780.549,7436.247,323
738.723,5273.73,324
745.038,3180.072,325
743.154,4497.024,326
740.048,5006.925,327
744.702,4614.162,328
749.015,3191.244,329
749.421,3208.044,330
744.736,4518.108,331
787.261,7779.009,332
749.935,4478.985,333
794.858,7343.007,334
754.173,4329.444,335
753.05,4925.046,336
762.581,3441.312,337
758.69,4339.734,338
762.531,3062.85,339
759.312,4441.374,340
798.649,7777.14,341
760.376,4453.05,342
761.387,4475.415,343
759.578,5090.736,344
763.869,4407.186,345
764.715,4349.31,346
767.569,4621.176,347
770.398,4561.305,348
818.729,7463.337,349
771.191,4487.49,350
773.541,4454.562,351
779.709,2921.604,352
775.381,4472.979,353
820.18,7400.799,354
776.101,4641.84,355
770.744,6616.197,356
784.388,3168.228,357
779.069,4906.629,358
