Pt.x,Pt.y,Id
464.497,2453.955,136
465.723,4109.049,137
466.194,2527.896,138
466.494,2470.65,139
468.987,3832.71,140
469.694,3804.675,141
472.8,1225.766,142
473.338,4076.961,143
474.919,4044.558,144
477.647,4139.226,145
478.794,4058.061,146
480.299,1244.767,147
482.341,3854.382,148
483.326,1433.122,149
487.137,4184.124,150
488.286,4094.391,151
489.021,4044.915,152
489.416,2503.242,153
492.467,3802.134,154
495.094,1418.689,155
496.07,4027.401,156
496.858,2453.409,157
498.746,4060.35,158
501.339,2461.893,159
504.113,3824.331,160
507.471,3699.801,161
507.69,4035.696,162
509.922,4008.375,163
510.67,4084.143,164
511.176,2469.579,165
512.175,3741.423,166
512.389,2453.892,167
512.856,3722.292,168
513.492,4077.108,169
516.625,4063.5,170
518.265,4051.95,171
520.504,4106.718,172
527.65,3806.733,173
530.697,3889.935,174
530.899,3896.949,175
532.291,4032.525,176
535.044,4096.428,177
536.485,4048.422,178
536.567,3799.614,179
536.934,4001.865,180
538.194,4038.174,181
546.321,3787.686,182
547.501,4009.95,183
551.41,3679.431,184
551.534,2257.605,185
551.922,3788.358,186
553.61,4018.182,187
556.011,3899.448,188
556.273,3675.105,189
556.716,3684.009,190
557.92,3991.722,191
558.64,4028.493,192
558.852,2257.983,193
562.145,3672.984,194
562.233,3697.281,195
563.071,2430.498,196
563.543,3995.817,197
564.778,3831.072,198
564.921,3756.144,199
565.746,3842.349,200
566.591,4022.571,201
566.966,2202.837,202
568.468,2446.5,203
569.22,4513.908,204
572.597,3776.724,205
573.124,2428.587,206
574.789,3661.644,207
575.511,2439.969,208
578.39,3977.946,209
578.563,5129.355,210
579.449,3694.068,211
580.745,3834.411,212
581.916,4055.982,213
582.908,2256.135,214
584.336,3633.714,215
585.705,3651.186,216
586.003,3984.309,217
589.373,4014.759,218
591.696,4060.959,219
593.044,2374.323,220
593.672,2356.599,221
594.613,2511.81,222
595.64,2526.174,223
596.192,6665.631,224
596.547,3639.027,225
597.341,2364.936,226
600.056,4024.398,227
600.512,2520.546,228
602.568,4062.408,229
604.619,4037.691,230
605.373,3826.578,231
607.226,4008.354,232
608.355,3730.524,233
612.702,6706.455,234
613.799,5948.271,235
614.809,3864,236
619.177,2177.868,237
619.385,6764.688,238
620.668,2337.216,239
620.817,6732.474,240
621.533,3705.933,241
625.821,3806.943,242
625.85,2390.997,243
626.39,2533.503,244
633.719,2103.444,245
634.416,6768.237,246
634.637,5921.622,247
638.312,6894.762,248
638.831,3895.248,249
639.299,4007.493,250
640.731,3995.061,251
641.128,4017.489,252
642.27,2119.026,253
642.293,6885.606,254
642.863,4034.394,255
642.974,2090.974,256
644.188,4000.122,257
644.377,6659.373,258
645.093,6553.386,259
645.805,3604.86,260
646.277,3853.626,261
647.346,2375.982,262
647.411,3865.869,263
648.35,6649.482,264
649.007,4012.197,265
649.797,3980.676,266
651.523,6812.316,267
652.338,3994.158,268
653.228,4046.868,269
653.635,1998.591,270
653.894,6670.965,271
655.79,3834.117,272
656.271,6633.144,273
657.163,4004.721,274
657.852,2116.653,275
659.973,6797.049,276
660.093,1855.715,277
660.188,6810.279,278
660.326,6878.613,279
660.788,3865.008,280
663.466,3970.155,281
665.055,2090.894,282
667.113,2291.394,283
668.495,2079.79,284
670.423,1859.071,285
674.037,2406.642,286
676.912,3735.795,287
