    71 	    10     2	   1.686e+00  -8.382e-02	 -8.939e-02   7.868e-02   1.191e-01    1
   127 	    10     1	   6.800e-01  -3.391e-01	 -8.983e-02  -1.941e-01   2.139e-01    1
   179 	    10     4	   1.656e+00  -5.959e-01	 -5.549e-02  -1.328e-02   5.706e-02    1
     9 	    11     3	   1.543e+00   6.644e-01	 -6.700e-02  -2.349e-02   7.100e-02    1
    72 	    11     2	   1.634e+00   2.864e-01	 -9.498e-02  -1.779e-01   2.017e-01    1
   128 	    11     1	   9.631e-01   3.237e-01	  6.662e-02   8.097e-02   1.049e-01    1
   180 	    11     4	   2.111e+00   1.921e-01	  1.740e-01   1.193e-01   2.110e-01    1
    10 	    12     3	   1.952e+00   9.511e-01	  1.092e-01  -2.533e-02   1.121e-01    1
    73 	    12     2	   1.836e+00   4.711e-01	 -1.218e-02  -7.628e-02   7.725e-02    1
   129 	    12     1	   8.068e-01   6.718e-01	  3.066e-02   1.795e-02   3.553e-02    1
   181 	    12     4	   1.600e+00   1.838e-01	 -1.235e-01   3.573e-02   1.285e-01    1
    11 	    13     3	   1.814e+00   9.529e-01	  1.199e-01  -2.813e-02   1.232e-01    1
    74 	    13     2	   1.691e+00   4.869e-01	 -4.836e-02  -9.998e-02   1.111e-01    1
   130 	    13     1	   6.390e-01   5.367e-01	 -8.049e-02  -9.248e-02   1.226e-01    1
   182 	    13     4	   1.483e+00   4.437e-01	 -1.927e-01   2.232e-01   2.948e-01    1
    12 	    14     3	   1.320e+00   2.624e-01	  6.493e-02  -3.072e-02   7.183e-02    1
    75 	    14     2	   1.595e+00  -2.134e-01	 -2.649e-02   6.023e-02   6.580e-02    1
   131 	    14     1	   4.105e-01  -4.870e-01	 -2.901e-01  -1.395e-01   3.219e-01    1
    13 	    15     3	   2.240e+00   5.533e-01	  1.787e-01  -5.696e-02   1.876e-01    1
    76 	    15     2	   2.344e+00  -1.046e-02	 -4.108e-02   2.364e-03   4.115e-02    1
   132 	    15     1	   1.672e+00   1.130e-01	  2.893e-01   7.088e-02   2.979e-01    1
   183 	    15     4	   2.350e+00  -3.340e-01	  9.558e-02  -8.872e-02   1.304e-01    1
    14 	    16     3	   2.023e+00   8.952e-01	  1.997e-01   5.359e-02   2.068e-01    1
    77 	    16     2	   2.252e+00   3.033e-01	  1.312e-01   1.429e-01   1.940e-01    1
    15 	    17     3	   1.650e+00   1.419e-01	 -6.017e-03  -7.565e-02   7.589e-02    1
    78 	    17     2	   1.704e+00  -1.047e+00	 -2.169e-01  -4.897e-01   5.356e-01    1
   133 	    17     1	   1.039e+00   1.013e-01	  2.622e-01   4.374e-01   5.099e-01    1
   184 	    17     4	   1.819e+00  -1.039e+00	  1.889e-01  -1.136e-01   2.204e-01    1
    16 	    18     3	   9.848e-01   3.675e-01	 -1.538e-01   1.462e-01   2.122e-01    1
    79 	    18     2	   1.257e+00   6.189e-02	 -1.407e-01   1.860e-01   2.332e-01    1
   134 	    18     1	   5.770e-01  -7.450e-01	 -8.148e-05  -3.838e-01   3.838e-01    1
   185 	    18     4	   1.561e+00  -9.325e-01	 -3.967e-02  -4.050e-01   4.069e-01    1
    17 	    19     3	   2.235e+00   1.122e+00	  2.159e-01   2.275e-01   3.136e-01    1
    80 	    19     2	   2.464e+00   6.678e-01	  3.230e-01   2.537e-01   4.107e-01    1
   135 	    19     1	   1.131e+00   5.005e-01	  6.340e-04   8.069e-02   8.069e-02    1
   186 	    19     4	   2.291e+00  -4.341e-03	  1.772e-01   7.920e-02   1.941e-01    1
    18 	    20     3	   2.248e+00   8.792e-01	  3.938e-01   1.654e-01   4.271e-01    1
    81 	    20     2	   1.977e+00   5.423e-01	  3.579e-02   4.443e-01   4.457e-01    1
   136 	    20     1	   1.111e+00   4.130e-02	  3.100e-01  -2.458e-01   3.956e-01    1
   187 	    20     4	   1.211e+00  -5.598e-01	 -5.108e-01  -1.798e-01   5.415e-01    1
    19 	    21     3	   1.846e+00   6.726e-01	  5.084e-03  -2.760e-02   2.806e-02    1
    82 	    21     2	   1.996e+00   1.164e-01	  5.992e-02  -1.700e-01   1.802e-01    1
   137 	    21     1	   1.015e+00   3.833e-01	  6.911e-02   1.021e-01   1.233e-01    1
