    42      20     2  	-4.531e-01  -3.527e-01     2.453e-01   5.265e-02   2.509e-01	 1
    43      20     3  	-3.032e-01  -7.703e-01     1.320e-01  -1.783e-01   2.219e-01	 1
    44      20     4  	-1.068e+00   2.073e-01     1.305e-02   2.161e-01   2.165e-01	 1
    45      21     2  	-6.710e-01  -7.421e-01    -9.960e-02  -1.610e-01   1.893e-01	 1
    46      21     3  	-5.588e-01  -7.783e-01    -2.231e-01  -2.083e-01   3.053e-01	 1
    47      21     4  	-1.154e+00  -3.160e-01    -8.655e-03  -1.195e-01   1.198e-01	 1
    48      22     2  	-1.367e+00   5.566e-01    -7.301e-02   1.556e-01   1.719e-01	 1
    49      22     3  	-1.163e+00  -2.831e-01     7.904e-02   1.056e-01   1.319e-01	 1
    50      22     4  	-1.093e+00   8.601e-01    -2.389e-01  -3.266e-02   2.412e-01	 1
    51      23     2  	-8.029e-01   1.671e-01     1.976e-01   1.590e-01   2.536e-01	 1
    52      23     3  	-6.943e-01  -1.655e-01     2.081e-01   2.557e-01   3.297e-01	 1
    53      23     4  	-6.637e-01   4.639e-01     3.040e-01   4.425e-02   3.072e-01	 1
    54      24     4  	-1.775e+00   5.798e-01    -7.964e-01   2.053e-01   8.225e-01	 1
    55      25     2  	-8.313e-01  -2.270e-01    -2.800e-02   1.479e-02   3.166e-02	 1
    56      25     3  	-6.741e-01  -5.422e-01    -4.641e-02  -7.780e-02   9.059e-02	 1
    57      25     4  	-1.138e+00   7.681e-03    -1.196e-01  -4.896e-02   1.292e-01	 1
    58      26     2  	-1.365e+00   7.919e-01     1.113e-01   1.252e-01   1.675e-01	 1
    59      26     3  	-1.614e+00  -4.141e-02    -5.651e-02   1.763e-01   1.852e-01	 1
    60      26     4  	-7.321e-01   1.016e+00     3.525e-02  -6.134e-02   7.075e-02	 1
    61      27     3  	 1.258e+01   1.061e+01     1.356e+01   1.092e+01   1.742e+01	 0
    62      28     4  	-9.919e-01  -3.074e-01     7.732e-02  -6.643e-02   1.019e-01	 1
    63      29     4  	-1.337e+00  -4.010e-01    -1.981e-01  -8.293e-03   1.983e-01	 1
    64      30     2  	-4.546e-01  -7.379e-01     5.181e-02  -8.249e-02   9.742e-02	 1
    65      30     3  	-3.279e-01  -6.187e-01    -1.458e-01   1.440e-02   1.465e-01	 1
    66      30     4  	-1.141e+00  -4.102e-01    -9.625e-05  -7.211e-02   7.211e-02	 1
    67      31     2  	-5.710e-01  -4.168e-01     4.708e-02   6.577e-02   8.088e-02	 1
    68      31     3  	-2.161e-01  -4.533e-01     7.706e-02   1.416e-01   1.612e-01	 1
    69      31     4  	-1.179e+00  -2.488e-01    -1.164e-01  -1.340e-03   1.164e-01	 1
    70      32     2  	-6.573e-01  -5.969e-01    -1.304e-01   1.610e-02   1.313e-01	 1
    71      32     3  	-2.859e-01  -3.928e-01    -5.509e-02   1.842e-01   1.922e-01	 1
    72      32     4  	-1.302e+00  -5.523e-01    -1.866e-01  -1.829e-01   2.613e-01	 1
    73      33     3  	-6.289e-01  -3.944e-01     3.298e-02   8.307e-02   8.938e-02	 1
    74      34     3  	-1.345e+00  -5.132e-01    -8.646e-02  -2.092e-01   2.264e-01	 1
    75      35     2  	-8.220e-01  -2.924e-01     3.445e-02  -1.277e-01   1.322e-01	 1
    76      35     3  	-5.488e-01  -7.047e-01    -1.258e-01   8.523e-03   1.261e-01	 1
    77      35     4  	-1.110e+00   2.158e-01    -1.611e-01   6.288e-02   1.729e-01	 1
