   4	  2      5.8457285362e-01    4.5169428474e+01     8.19002e+00 -7.87124e-02  6.08335e+00 -5.84656e-02  2.05163e-02 -5.80385e+00  1.52390e-02 -4.31095e+00 -1.63269e-04  6.38389e-02 -1.21272e-04  4.74180e-02  9.00676e-02 -8.65613e-04  1.53001e-06 -1.22151e-06  6.65259e-09 -2.74555e-06  3.89954e-06 -3.74773e-08
   4	  3      5.8458043059e-01    4.5169423434e+01     8.25756e+00  7.72058e-02  5.94095e+00  5.55462e-02  4.16462e-03 -5.77505e+00  2.99626e-03 -4.15489e+00  1.74447e-05  6.30534e-02  1.25507e-05  4.53641e-02  9.01464e-02  8.42847e-04  2.15902e-06  6.93677e-07  7.83366e-09 -2.72857e-06  3.93170e-06  3.67606e-08
   5	  1      5.9640445829e-01    4.5182360134e+01     8.11547e+00 -5.37557e-02  4.30480e+00 -2.85144e-02 -2.95207e-03 -5.76693e+00 -1.56591e-03 -3.05903e+00  9.02267e-05  5.54677e-02  4.78602e-05  2.94225e-02  7.80499e-02 -5.16987e-04 -9.32693e-07  1.11066e-06  7.79130e-11 -2.73742e-06  3.86415e-06 -2.55953e-08
   5	  2      5.9639459625e-01    4.5182361141e+01     8.19000e+00 -7.91581e-02  4.38926e+00 -4.24232e-02  1.87995e-02 -5.80338e+00  1.00752e-02 -3.11020e+00 -1.17189e-04  5.54384e-02 -6.28052e-05  2.97111e-02  7.82232e-02 -7.56040e-04  1.51670e-06 -1.22227e-06  5.61585e-09 -2.74484e-06  3.89964e-06 -3.76906e-08
   5	  3      5.9639384419e-01    4.5182354837e+01     8.25664e+00  7.59776e-02  4.25227e+00  3.91294e-02  3.23444e-03 -5.77413e+00  1.66578e-03 -2.97375e+00  3.22314e-05  5.47627e-02  1.65996e-05  2.82035e-02  7.82992e-02  7.20514e-04  2.14610e-06  6.92579e-07  6.17737e-09 -2.72821e-06  3.93138e-06  3.61768e-08
   6	  1      5.9496653270e-01    4.5167963227e+01     8.11418e+00 -5.56965e-02  6.16559e+00 -4.23212e-02 -5.13286e-03 -5.76731e+00 -3.90023e-03 -4.38232e+00  1.12107e-04  5.64996e-02  8.51850e-05  4.29314e-02  7.94837e-02 -5.45579e-04 -9.38731e-07  1.11155e-06 -5.47812e-10 -2.73051e-06  3.86353e-06 -2.65193e-08
   6	  3      5.9495963582e-01    4.5167957142e+01     8.25360e+00  7.63990e-02  6.14310e+00  5.68633e-02  3.98300e-03 -5.77391e+00  2.96452e-03 -4.29749e+00  2.44099e-05  5.57722e-02  1.81681e-05  4.15109e-02  7.97161e-02  7.37892e-04  2.14004e-06  6.93380e-07  7.07639e-09 -2.72853e-06  3.92992e-06  3.63774e-08
   7	  1      5.9109055672e-01    4.5173142817e+01     8.11396e+00 -5.46465e-02  5.49975e+00 -3.70401e-02 -4.44882e-03 -5.76690e+00 -3.01547e-03 -3.90888e+00  1.07527e-04  5.92480e-02  7.28834e-05  4.01590e-02  8.33529e-02 -5.61367e-04 -9.28996e-07  1.11114e-06 -2.21160e-10 -2.73009e-06  3.86338e-06 -2.60191e-08
   7	  2      5.9107262277e-01    4.5173145980e+01     8.18928e+00 -7.90256e-02  5.59266e+00 -5.39685e-02  1.92892e-02 -5.80351e+00  1.31730e-02 -3.96336e+00 -1.34434e-04  5.92191e-02 -9.18082e-05  4.04422e-02  8.35479e-02 -8.06223e-04  1.52070e-06 -1.22171e-06  6.12775e-09 -2.75291e-06  3.89925e-06 -3.76270e-08
   7	  3      5.9108028013e-01    4.5173138681e+01     8.25624e+00  7.66028e-02  5.45855e+00  5.06454e-02  3.82246e-03 -5.77448e+00  2.52719e-03 -3.81775e+00  2.41872e-05  5.84893e-02  1.59912e-05  3.86697e-02  8.36174e-02  7.75822e-04  2.14988e-06  6.93249e-07  7.06965e-09 -2.72845e-06  3.93114e-06  3.64741e-08
   7	  4      5.9107417931e-01    4.5173146681e+01     8.28604e+00  1.56846e-01  5.35957e+00  1.01451e-01  1.74287e-02 -5.87774e+00  1.12733e-02 -3.80184e+00 -1.12154e-04  5.91151e-02 -7.25432e-05  3.82368e-02  8.33185e-02  1.57714e-03 -1.88977e-06 -1.52607e-06  2.60618e-09 -2.78395e-06  3.94533e-06  7.46813e-08
   8	  1      6.5765610769e-01    4.5191790593e+01     8.12614e+00 -5.73094e-02  3.03563e+00 -2.14087e-02 -1.36601e-04 -5.77035e+00 -5.10293e-05 -2.15559e+00  6.21971e-05  1.19753e-02  2.32346e-05  4.47353e-03  1.68648e-02 -1.18938e-04 -1.03258e-06  1.11135e-06 -1.05312e-09 -2.73244e-06  3.86957e-06 -2.72899e-08
